Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
SEHI;Fire Fighting System, Hi-Ex Foam;"Includes Foam discharge nozzles/diffusers
Includes Hi-Expansion foam fire suppression system
Includes Dispersion equipment
Includes Visual and audible alarms within the protected space
Excludes Foam proportioner
Excludes Foam generator as an equipment class (own EST – SEFJ)
Excludes Foam tanks (own EST – SEFT)
Excludes Rotary Pump (own EST – PURO)
Excludes Centrifugal Pump (own EST – PUCE)";;;;;;;;;;;;;;;
PKRO;Reverse Osmosis Package;"Includes Instrument air supply system
Includes Electrical power supply system
Includes Sampling points
Includes Calibration ports
Includes Seals and gaskets
Includes Mounting hardware
Includes Interconnecting wiring/cabling
Includes Instrumentation
Includes Pipework and hoses
Includes Mineralizer
Excludes Control panel
Excludes Push button
Excludes CIP System (Cleaning In Place) and FF System (Fresh Flush)
Excludes Rehardening filter
Excludes Sterilizer
Excludes Sea water feed pump";;;;;;;;;;;;;;;
VAHV;Valve, High Velocity Vent;"Includes positioner
Includes stem packing/seals
Includes bonnet gasket
Includes stem/bonnet bolts
Includes stem guide/bushing
Includes stem/disc connection
Includes disc/seat interface
Includes seat ring
Includes body gasket
Includes flange bolts
Includes flange gaskets
Includes stem lock
Includes stem wiper
Includes stem lubrication fitting
Includes stem corrosion protection
Includes body drain/vent plug
Excludes pressure safety valves of conventional design and pilot operated design
Excludes over-pressure protection devices such as bursting discs, buckling pins, and anti-surge valves";;;;;;;;;;;;;;;
FTBH;Bunker Hose;"Includes hose couplings
Includes hose flanges
Includes hose clamps
Includes hose reinforcement layers
Includes hose inner liner
Includes hose outer cover
Includes hose end fittings
Includes hose inspection ports
Includes hose support structures
Includes hose
Excludes breakaway coupling";;;;;;;;;;;;;;;
SPSB;Sampling Board;"Includes sample bottle caps/seals
Includes sample line purge system
Includes sample line insulation
Includes sample line heat tracing
Includes sample line pressure relief devices
Includes associating pipework
Includes heaters and thermostats
Includes a back-pressure control system
Includes a sample rate control system
Includes sample bottles
Includes a sample bottle weighing system
Excludes solenoid valves";;;;;;;;;;;;;;;
CEDS;Water Deck Seal;"Includes Seal housing and connections
Includes Water level control mechanism
Includes Inspection ports and access covers
Excludes Demister fitted to outlet of IG Scrubber
Excludes Non-Return Valves fitted to system
Excludes the functional aspects of local instrumentation (e.g., level gauges, level transmitters), which are covered by their own Equipment Strategies";;;;;;;;;;;;;;;
WMIN;Incinerator;"Includes Ash removal system
Includes Exhaust gas damper
Includes Ignition system
Includes Refractory lining
Includes Structural casing";;;;;;;;;;;;;;;
SEIN;Fire Fighting System, Inergen;"Includes Detection system
Includes Manual release station
Includes Piping supports
Includes Electrical connections
Includes Inergen Fire Suppression System
Includes Associated pipework
Includes Dispersion equipment
Excludes Flexible hoses";;;;;;;;;;;;;;;
VACH;Valve, Check;"Includes Seals
Includes Gaskets
Includes Fasteners
Includes Lubrication points
Includes Internal components (plates, disk, hinge, spring, etc)";;;;;;;;;;;;;;;
LSBU;Lifebuoy;"Includes Reflective tape or markings
Includes Attachment hardware (e.g., bolts, nuts, washers)
Includes Buoyancy material integrity checks
Includes Buoyant lifeline (where fitted)
Includes Mounting brackets and supports
Includes Quick‑release arrangements (manual and bridge‑operated, where applicable)
Excludes Self‑igniting lifebuoy lights";;;;;;;;;;;;;;;
VEPT;Pig Trap;"Includes Door seal/gasket
Includes Door hinge/locking mechanism
Includes Pressure relief device
Includes Corrosion monitoring point
Includes Integrity of local instrumentation
Excludes Manual valves and Motor operated valves";;;;;;;;;;;;;;;
LHTR;Trolley;"Includes wheels and axles
Includes braking system
Includes coupling mechanisms
Includes structural frame and supports
Includes electrical/pneumatic power supply connections
Includes the control equipment and safety features
Excludes Hoisting Equipment (own EMS - LHHI)
Excludes Lifting Accessories (own EMS - LHLA)
Excludes Crane Gantry (own EMS - CRGA)
Excludes Crane Travelling (own EMS - CRTC)";;;;;;;;;;;;;;;
FTBK;Breakaway coupling;"Includes Seals
Includes Bolts and fasteners
Includes Pressure relief mechanism
Includes Locking pins
Excludes Offloading Hose
Excludes marine breakaway coupling fitted on bunkering hose
Excludes Offloading Hose (FTHO)";;;;;;;;;;;;;;;
VESC;Sea Chest;"Includes MGPS by chemical injection
Excludes associated valves
Excludes Sea Chests";;;;;;;;;;;;;;;
SENS;Nitrogen Snuffing System;"Includes pressure regulators
Includes manual activation devices
Includes dispersion nozzles
Includes piping supports and hangers
Includes leak detection sensors
Includes N2 fire suppression system
Includes pipework and dispersion equipment";;;;;;;;;;;;;;;
PKNG;Nitrogen Generation Package;"Includes pressure regulator
Includes instrumentation tubing
Includes heating elements
Includes nitrogen membrane
Includes the nitrogen bottles, its fittings and any supporting structure
Excludes adsorber (PSA-Pressure Swing Adsorption)
Excludes oxygen analyser
Excludes feed air compressor";;;;;;;;;;;;;;;
SENO;Fire Fighting System, NOVEC 1230;"Includes Manual release stations
Includes Piping supports and hangers
Includes Test ports
Includes Nozzles and diffusers
Includes Pressure relief devices
Includes NOVEC1230 fire suppression system
Includes Dispersion equipment";;;;;;;;;;;;;;;
VABA;Valve, Ball;"Includes stem seals
Includes stem packing
Includes stem bushings
Includes stem drive mechanism
Includes stem anti-rotation features
Includes stem corrosion protection
Includes stem alignment components
Includes stem torque transmission elements
Includes internal components
Includes piping connections
Excludes limit Switches
Excludes Actuated ball valves (has own EST: VAXV or VACV or VAMO)";;;;;;;;;;;;;;;
VABP;Valve, Butterfly;"Includes gaskets
Includes seals
Includes stem packing
Includes fasteners
Includes handwheel
Includes locking mechanism
Includes positional indicators
Excludes limit Switches
Excludes Actuated butterfly valves (has own EST: VAXV or VACV or VAMO)";;;;;;;;;;;;;;;
VAGA;Valve, Gate;"Includes stem packing/seals
Includes stem threads/nut
Includes gaskets
Includes handwheel/operating mechanism
Includes body/bonnet bolts/studs
Includes stem/disc connection
Includes body drain/vent plugs
Includes positional indicators
Excludes limit Switches
Excludes Actuated Gate Valves (has own EST: VAXV or VACV or VAMO)";;;;;;;;;;;;;;;
VAGL;Valve, Globe;"Includes gland packing
Includes stem seal
Includes bonnet gasket
Includes handwheel
Includes stem nut
Includes yoke
Includes stem
Includes disc
Includes seat ring
Includes body gasket
Includes positional indicators
Includes internal components
Includes piping connections
Excludes limit Switches
Excludes Actuated Globe valves (has own EST: VAXV or VACV or VAMO)";;;;;;;;;;;;;;;
VADB;Valve, Single/Double Block and Bleed;"Includes:
- ONLY manual Single/Double Block and Bleed valves
- positional indicators
- limit Switches
- valve body, internal components and piping connections

Excludes:
- Actuated DBB valves (has own EST: VAXV or VACV or VAMO)
- Actuated single block and bleed valves (has own EST: VAXV or VACV or VAMO)";;;;;;;;;;;;;;;
SUPI;Piping Line;"Includes Pipe supports
Includes Pipe hangers
Includes Pipe clamps
Includes Pipe guides
Includes Pipe anchors
Includes Pipe saddles
Includes Pipe shoes
Includes Pipe brackets
Includes Pipe sleeves
Includes Pipe gaskets
Includes Pipe seals
Includes Pipe couplings
Includes Pipe flanges
Includes Pipe elbows
Includes Pipe tees
Includes Pipe reducers
Includes Pipe caps
Includes Pipe unions
Includes Pipe nipples
Includes Pipe bends
Includes Pipe welds
Includes Pipe threads
Includes Pipe linings
Includes Pipe corrosion protection
Includes Pipe leak detection points
Includes Pipe drain points
Includes Pipe vent points
Includes Pipe sample points
Includes Pipe cleaning access points
Includes Pipe inspection ports
Includes Pipe traps
Includes Pipe condensate drains
Includes Pipe steam desuperheaters
Includes Pipe steam attemperators
Includes Pipe steam pressure reducing stations
Includes Pipe steam test points
Includes Pipe steam instrumentation
Includes Pipe steam insulation
Includes Pipe steam tracing
Includes Pipe steam jacketing
Includes Pipe steam heating elements
Includes Pipe steam cooling elements
Includes Pipe steam expansion loops
Includes Pipe steam flexible connections
Includes Pipe steam welded connections
Includes Pipe steam flanged connections
Includes Pipe steam threaded connections
Includes Pipe steam grooved connections
Includes Pipe steam compression fittings
Includes Pipe steam push-to-connect fittings
Includes Pipe steam brazed connections
Includes Pipe steam soldered connections
Includes Pipe steam adhesive connections
Includes Pipe steam mechanical joints
Includes Pipe steam bellows
Includes Pipe steam vibration dampeners
Includes Pipe steam acoustic dampeners
Includes Pipe steam pressure pulsation dampeners
Includes Pipe steam surge suppressors
Includes Pipe steam water hammer arrestors
Includes Pipe steam air vents
Includes Pipe steam vacuum breakers
Includes Pipe steam backflow preventers
Includes its fittings
Includes its supporting structure
Excludes Valves
Excludes Pressure vessels";;;;;;;;;;;;;;;
LHHI;Hoisting Equipment;"Includes Hoist brake system
Includes Hoist wire rope or chain
Includes Hoist hook and latch
Includes Hoist load cell or weight indicator
Includes Hoist electrical connections and wiring
Includes Hoist structural frame and supports
Excludes Manual and Powered Trolley Hoist (own EMS - LHTR)
Excludes Lifting Accessories (own EMS - LHLA)
Excludes Crane Pedestal (own EMS - CRDK)
Excludes Crane Gantry (own EMS - CRGA)
Excludes Crane Travelling (own EMS - CRTC)
Excludes Davit (own EMS - LHDA)";;;;;;;;;;;;;;;
IPBS;Burner Switch;"Includes Internal wiring/cabling
Includes Internal terminal blocks
Includes Internal circuit breakers/fuses
Includes Internal diagnostic/test points
Excludes Position/limit/selector switches
Excludes BMS (Burner Management System)/PLC internal logic and functions (sequencing, timing, and safety logic), as these belong to the control/safety system and not to the 'switch' component itself";;;;;;;;;;;;;;;
VAGE;Valve, Expanding Gate;"Includes seals and gaskets
Includes stem and stem packing
Includes gate and seat surfaces
Includes bonnet and body bolts/nuts
Includes positional indicators
Excludes Limit Switches
Excludes valve actuators
Excludes Electrical Motor";;;;;;;;;;;;;;;
VAPG;Valve, Plug;"Includes seals and gaskets
Includes stem packing
Includes stem and plug assembly
Includes body and bonnet bolts/nuts
Includes positional indicators
Excludes Limit Switches
Excludes valve actuators
Excludes Electrical Motor";;;;;;;;;;;;;;;
HBFB;Boiler, HC-Fired;"Includes flame scanner
Includes fuel oil heater
Includes combustion air preheater
Includes boiler feedwater regulator
Includes boiler casing insulation
Includes the boiler casing, tubes, burners and any ductwork
Includes boiler steam and water drums
Includes Air damper and Register
Includes ignition system electrical device up to spark plug
Excludes all manual valve part of the boiler package
Excludes Fuel supply pump
Excludes feed water pumps
Excludes Fuel gas valve enclosure and associated fan and purging system
Excludes Pressure Safety Valve PSV (own EMS - VASC)";;;;;;;;;;;;;;;
PULR;Pump, Liquid Ring;"Includes Internal wear rings or clearance rings
Includes Shaft sleeves or shaft protectors
Includes Gland packing or alternative sealing arrangements
Includes Drain plugs or inspection ports
Includes Mounting bolts or fasteners
Includes Vibration dampeners or isolators
Includes Lubrication & sealing subsystem (oil circuits, seal support system, cooling oil arrangements)
Excludes Local condition indicators (local gauges mounted directly on pump body: pressure/vacuum indication only)
Excludes External monitoring and control systems (remote sensors, transmitters, control panels, automation systems)
Excludes Upstream and downstream piping systems (process piping, valves, strainers, hoses, connections not integral to pump body)
Excludes Cooling or utility systems not integrated into pump (cooling water packages, standalone heat exchangers)
Excludes Process equipment outside the pump mechanical envelope (vessels, tanks, separators, utility skids)";;;;;;;;;;;;;;;
